time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	6.95326e-310	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.757429	0.645742	7.21881	-2.53971e-17	-1.19558e-17	radar	74.5918	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.12945	0.521815	7.24233	-0.374387	-0.0348839	lidar	0.684457	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.26575	0.552812	7.16177	-0.15566	-0.00517138	radar	2.10135	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.63039	0.542435	7.13535	-0.0775127	0.0450766	lidar	0.501992	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.86249	0.550823	6.02988	-0.0840336	-0.376742	radar	6.58164	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.17139	0.554372	5.99771	-0.0657681	-0.278763	lidar	0.553333	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.38496	0.620659	5.56051	0.00555838	-0.196494	radar	6.0426	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65926	0.632286	5.54702	0.0120851	-0.133933	lidar	0.0695806	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92217	0.639161	5.47665	0.00560466	-0.154619	radar	0.235543	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15604	0.641315	5.42776	0.00993977	-0.111739	lidar	1.15876	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44051	0.54509	5.46104	-0.120142	-0.505154	radar	1.43506	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74525	0.44024	5.53685	-0.228786	-0.742765	lidar	2.3437	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02302	0.522355	5.51312	-0.103028	-0.309929	radar	3.54023	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29697	0.520757	5.49966	-0.0911049	-0.244682	lidar	0.230815	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55428	0.563441	5.39233	-0.0456353	-0.120619	radar	1.65998	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73931	0.677399	5.22366	0.0588776	0.10751	lidar	11.5581	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98998	0.679153	5.13187	0.052095	0.0846874	radar	1.69079	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.29052	0.673278	5.20014	0.0390414	0.0526751	lidar	2.82816	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.5494	0.680817	5.25734	0.0408122	0.0515729	radar	1.72384	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84464	0.693961	5.30568	0.0432293	0.0508373	lidar	1.67253	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08632	0.62503	5.19222	-0.00730861	-0.032027	radar	4.05557	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33992	0.73355	5.17953	0.0607264	0.0713897	lidar	3.11851	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58927	0.766754	5.13299	0.0746599	0.0861029	radar	0.349932	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83599	0.763291	5.11991	0.065941	0.0683929	lidar	0.307831	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.07731	0.750038	5.00038	0.0522207	0.0454387	radar	2.63581	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
